el,f11,f12,f13,f21,f22,f23
46371, 0.070776, 0.976140, -0.205283, 0.123890, 0.199864, 0.971960
46372, -0.007322, 0.842519, -0.538617, 0.569589, 0.441489, 0.693293
46373, 0.177941, 0.761736, -0.622973, 0.573698, 0.429860, 0.697203
46374, 0.571799, -0.805711, -0.154518, 0.734725, 0.417295, 0.534831
46375, 0.006078, 0.878307, -0.478059, 0.517372, 0.404847, 0.753940
46376, 0.258053, 0.698073, -0.667909, 0.615764, 0.410666, 0.672449
46377, 0.205221, 0.727337, -0.654878, 0.588986, 0.436522, 0.680106
46378, 0.073199, 0.556388, -0.827692, 0.789044, 0.464705, 0.401820
46379, 0.039115, 0.601657, -0.797797, 0.764173, 0.487805, 0.422003
46380, -0.087152, 0.711411, -0.697352, 0.740819, 0.506015, 0.441742
46381, -0.085970, 0.711011, -0.697906, 0.749185, 0.497441, 0.437350
46382, -0.104976, 0.797559, -0.594037, 0.636189, 0.504433, 0.583790
46383, -0.072477, 0.807784, -0.585006, 0.632109, 0.484289, 0.604899
46384, -0.071808, 0.778968, -0.622938, 0.673328, 0.488335, 0.555120
46385, 0.483425, -0.869587, -0.100587, 0.846435, 0.421318, 0.325637
46386, -0.026769, 0.826548, -0.562229, 0.598430, 0.457754, 0.657528
46387, -0.334057, 0.817960, -0.468344, 0.662101, 0.556455, 0.501977
46388, 0.001198, 0.915536, -0.402235, 0.447542, 0.354398, 0.821041
46389, 0.021599, 0.890336, -0.454792, 0.487672, 0.386206, 0.782957
46390, 0.414515, 0.692825, -0.590060, 0.501801, 0.361718, 0.785720
46391, 0.774736, -0.622148, -0.112762, 0.408941, 0.334113, 0.849197
46392, -0.114489, 0.974369, -0.193641, 0.206152, 0.216182, 0.954341
46393, -0.071976, 0.978437, -0.193600, 0.204595, 0.206652, 0.956784
46394, 0.406061, 0.833654, -0.374346, 0.306462, 0.260452, 0.915558
46395, 0.115827, 0.963993, -0.239378, 0.181975, 0.216469, 0.959180
46396, 0.655128, -0.753124, -0.060093, 0.193801, 0.193282, 0.961813
46397, 0.608652, -0.780103, -0.144853, 0.130189, 0.137452, 0.981915
46398, 0.218994, 0.952994, -0.209391, 0.150161, 0.180447, 0.972055
46399, 0.704953, -0.708624, -0.029868, 0.189880, 0.196443, 0.961954
46400, 0.834917, -0.550130, 0.016469, -0.217530, -0.300986, 0.928487
46401, -0.072152, 0.775421, -0.627309, 0.656257, 0.502887, 0.562523
46402, 0.425087, -0.885100, -0.189470, 0.877820, 0.394385, 0.271832
46403, -0.064647, 0.791886, -0.607237, 0.643245, 0.490817, 0.587652
46404, 0.082625, 0.657244, -0.749136, 0.697721, 0.489507, 0.523037
46405, -0.035872, 0.775186, -0.630714, 0.665801, 0.479922, 0.571300
46406, 0.512269, -0.808922, -0.288489, 0.833870, 0.382570, 0.397872
46407, -0.006102, 0.824575, -0.565720, 0.569087, 0.463015, 0.679527
46408, 0.602670, -0.786046, -0.137554, 0.725115, 0.465011, 0.507911
